source,dest
https://experienceleague.adobe.com/docs/bizible/using/home.html,https://experienceleague.adobe.com/docs/marketo-measure/using/home.html
https://experienceleague.adobe.com/docs/bizible/using/introduction-to-bizible/marketing-attribution.html,https://experienceleague.adobe.com/docs/marketo-measure/using/marketing-attribution.html
https://experienceleague.adobe.com/docs/bizible/using/introduction-to-bizible/bizible-attribution-models.html,https://experienceleague.adobe.com/docs/marketo-measure/using/marketo-measure-attribution-models.html
https://experienceleague.adobe.com/docs/bizible/using/introduction-to-bizible/bizible-framework.html,https://experienceleague.adobe.com/docs/marketo-measure/using/marketo-measure-framework.html
https://experienceleague.adobe.com/docs/bizible/using/introduction-to-bizible/glossary-of-bizible-fields.html,https://experienceleague.adobe.com/docs/marketo-measure/using/glossary.html
https://experienceleague.adobe.com/docs/bizible/using/bizible-tracking/best-practices-for-implementing-bizible-javascript.html,https://experienceleague.adobe.com/docs/marketo-measure/using/marketo-measure-tracking/best-practices-for-implementing-marketo-measure-javascript.html
https://experienceleague.adobe.com/docs/bizible/using/bizible-tracking/adding-bizible-script.html,https://experienceleague.adobe.com/docs/marketo-measure/using/marketo-measure-tracking/adding-marketo-measure-script.html
https://experienceleague.adobe.com/docs/bizible/using/bizible-tracking/adding-bizible-script-via-google-tag-manager.html,https://experienceleague.adobe.com/docs/marketo-measure/using/marketo-measure-tracking/adding-marketo-measure-script-via-google-tag-manager.html
https://experienceleague.adobe.com/docs/bizible/using/bizible-tracking/adding-bizible-script-to-different-form-providers/adding-bizible-javascript-to-pardot.html,https://experienceleague.adobe.com/docs/marketo-measure/using/marketo-measure-tracking/adding-marketo-measure-javascript-to-pardot.html
https://experienceleague.adobe.com/docs/bizible/using/bizible-tracking/adding-bizible-script-to-different-form-providers/adding-bizible-script-to-lightbox-forms.html,https://experienceleague.adobe.com/docs/marketo-measure/using/marketo-measure-tracking/adding-marketo-measure-script-to-lightbox-forms.html
https://experienceleague.adobe.com/docs/bizible/using/bizible-tracking/adding-bizible-script-to-different-form-providers/adding-bizible-script-to-sitecore-pages.html,https://experienceleague.adobe.com/docs/marketo-measure/using/marketo-measure-tracking/adding-marketo-measure-script-to-sitecore-pages.html
https://experienceleague.adobe.com/docs/bizible/using/bizible-tracking/adding-bizible-script-to-different-form-providers/adding-bizible-script-to-uberflip-forms.html,https://experienceleague.adobe.com/docs/marketo-measure/using/marketo-measure-tracking/adding-marketo-measure-script-to-uberflip-forms.html
https://experienceleague.adobe.com/docs/bizible/using/bizible-tracking/adding-bizible-script-to-different-form-providers/adding-bizible-to-act-on-forms.html,https://experienceleague.adobe.com/docs/marketo-measure/using/marketo-measure-tracking/adding-marketo-measure-to-act-on-forms.html
https://experienceleague.adobe.com/docs/bizible/using/bizible-tracking/adding-bizible-script-to-different-form-providers/adding-bizible-to-hubspot.html,https://experienceleague.adobe.com/docs/marketo-measure/using/marketo-measure-tracking/adding-marketo-measure-to-hubspot.html
https://experienceleague.adobe.com/docs/bizible/using/bizible-tracking/adding-bizible-script-to-different-form-providers/adding-bizible-to-marketo-landing-pages.html,https://experienceleague.adobe.com/docs/marketo-measure/using/marketo-measure-tracking/adding-marketo-measure-to-marketo-landing-pages.html
https://experienceleague.adobe.com/docs/bizible/using/bizible-tracking/adding-bizible-script-to-different-form-providers/ajax-form-handling.html,https://experienceleague.adobe.com/docs/marketo-measure/using/marketo-measure-tracking/ajax-form-handling.html
https://experienceleague.adobe.com/docs/bizible/using/bizible-tracking/adding-bizible-script-to-different-form-providers/connecting-bizible-to-unbounce-script-manager.html,https://experienceleague.adobe.com/docs/marketo-measure/using/marketo-measure-tracking/unbounce.html
https://experienceleague.adobe.com/docs/bizible/using/bizible-tracking/adding-bizible-script-to-different-form-providers/iframe-forms-and-bizible.html,https://experienceleague.adobe.com/docs/marketo-measure/using/marketo-measure-tracking/iframe-forms-and-marketo-measure.html
https://experienceleague.adobe.com/docs/bizible/using/bizible-tracking/excluding-bizible-from-specific-forms.html,https://experienceleague.adobe.com/docs/marketo-measure/using/marketo-measure-tracking/excluding-marketo-measure-from-specific-forms.html
https://experienceleague.adobe.com/docs/bizible/using/bizible-tracking/bizible-cookies.html,https://experienceleague.adobe.com/docs/marketo-measure/using/marketo-measure-tracking/marketo-measure-cookies.html
https://experienceleague.adobe.com/docs/bizible/using/bizible-tracking/definition-of-bizible-web-sessions.html,https://experienceleague.adobe.com/docs/marketo-measure/using/marketo-measure-tracking/definition-of-marketo-measure-web-sessions.html
https://experienceleague.adobe.com/docs/bizible/using/bizible-tracking/best-practices-for-testing.html,https://experienceleague.adobe.com/docs/marketo-measure/using/marketo-measure-tracking/best-practices-for-testing.html
https://experienceleague.adobe.com/docs/bizible/using/bizible-tracking/delayed-cookie-sync.html,https://experienceleague.adobe.com/docs/marketo-measure/using/marketo-measure-tracking/delayed-cookie-sync.html
https://experienceleague.adobe.com/docs/bizible/using/configuration-and-setup/getting-started-with-bizible/touchpoint-generation-and-mapping.html,https://experienceleague.adobe.com/docs/marketo-measure/using/configuration-and-setup/getting-started-with-marketo-measure/touchpoint-generation-and-mapping.html
https://experienceleague.adobe.com/docs/bizible/using/configuration-and-setup/getting-started-with-bizible/attribution-object-mapping.html,https://experienceleague.adobe.com/docs/marketo-measure/using/configuration-and-setup/getting-started-with-marketo-measure/attribution-object-mapping.html
https://experienceleague.adobe.com/docs/bizible/using/configuration-and-setup/getting-started-with-bizible/difference-between-bizible-touchpoints-and-bizible-attribution-touchpoints.html,https://experienceleague.adobe.com/docs/marketo-measure/using/configuration-and-setup/getting-started-with-marketo-measure/difference-between-buyer-touchpoints-and-buyer-attribution-touchpoints.html
https://experienceleague.adobe.com/docs/bizible/using/configuration-and-setup/getting-started-with-bizible/explanation-of-touchpoint-positions-and-generation-across-bts-and-bats.html,https://experienceleague.adobe.com/docs/marketo-measure/using/configuration-and-setup/getting-started-with-marketo-measure/bts-bats.html
https://experienceleague.adobe.com/docs/bizible/using/configuration-and-setup/getting-started-with-bizible/bizible-quick-start.html,https://experienceleague.adobe.com/docs/marketo-measure/using/configuration-and-setup/getting-started-with-marketo-measure/marketo-measure-quick-start.html
https://experienceleague.adobe.com/docs/bizible/using/configuration-and-setup/bizible-and-salesforce/bizible-installation-guide.html,https://experienceleague.adobe.com/docs/marketo-measure/using/configuration-and-setup/marketo-measure-and-salesforce/marketo-measure-installation-guide.html
https://experienceleague.adobe.com/docs/bizible/using/configuration-and-setup/bizible-and-salesforce/best-practices-for-bizible-crm-package.html,https://experienceleague.adobe.com/docs/marketo-measure/using/configuration-and-setup/marketo-measure-and-salesforce/best-practices-for-marketo-measure-crm-package.html
https://experienceleague.adobe.com/docs/bizible/using/configuration-and-setup/bizible-and-salesforce/bizible-salesforce-objects.html,https://experienceleague.adobe.com/docs/marketo-measure/using/configuration-and-setup/marketo-measure-and-salesforce/marketo-measure-salesforce-objects.html
https://experienceleague.adobe.com/docs/bizible/using/configuration-and-setup/bizible-and-salesforce/how-bizible-and-salesforce-interact.html,https://experienceleague.adobe.com/docs/marketo-measure/using/configuration-and-setup/marketo-measure-and-salesforce/how-marketo-measure-and-salesforce-interact.html
https://experienceleague.adobe.com/docs/bizible/using/configuration-and-setup/bizible-and-salesforce/bizible-object-and-field-taxonomy.html,https://experienceleague.adobe.com/docs/marketo-measure/using/configuration-and-setup/marketo-measure-and-salesforce/marketo-measure-object-and-field-taxonomy.html
https://experienceleague.adobe.com/docs/bizible/using/configuration-and-setup/bizible-and-salesforce/bizible-fields-on-standard-salesforce-objects.html,https://experienceleague.adobe.com/docs/marketo-measure/using/configuration-and-setup/marketo-measure-and-salesforce/marketo-measure-fields-on-standard-salesforce-objects.html
https://experienceleague.adobe.com/docs/bizible/using/configuration-and-setup/bizible-and-salesforce/page-layout-instructions.html,https://experienceleague.adobe.com/docs/marketo-measure/using/configuration-and-setup/marketo-measure-and-salesforce/page-layout-instructions.html
https://experienceleague.adobe.com/docs/bizible/using/configuration-and-setup/bizible-and-salesforce/hiding-unnecessary-report-types.html,https://experienceleague.adobe.com/docs/marketo-measure/using/configuration-and-setup/marketo-measure-and-salesforce/hiding-unnecessary-report-types.html
https://experienceleague.adobe.com/docs/bizible/using/configuration-and-setup/bizible-and-salesforce/creating-a-bizible-profile.html,https://experienceleague.adobe.com/docs/marketo-measure/using/configuration-and-setup/marketo-measure-and-salesforce/creating-a-marketo-measure-profile.html
https://experienceleague.adobe.com/docs/bizible/using/configuration-and-setup/bizible-and-salesforce/bizible-permission-sets.html,https://experienceleague.adobe.com/docs/marketo-measure/using/configuration-and-setup/marketo-measure-and-salesforce/marketo-measure-permission-sets.html
https://experienceleague.adobe.com/docs/bizible/using/configuration-and-setup/bizible-and-salesforce/recommended-salesforce-permissions-for-bizible-connected-user.html,https://experienceleague.adobe.com/docs/marketo-measure/using/configuration-and-setup/marketo-measure-and-salesforce/recommended-permissions.html
https://experienceleague.adobe.com/docs/bizible/using/configuration-and-setup/bizible-and-salesforce/install-and-connect.html,https://experienceleague.adobe.com/docs/marketo-measure/using/configuration-and-setup/marketo-measure-and-salesforce/install-and-connect.html
https://experienceleague.adobe.com/docs/bizible/using/configuration-and-setup/sandbox-testing/testing-a-staging-environment.html,https://experienceleague.adobe.com/docs/marketo-measure/using/configuration-and-setup/sandbox-testing/testing-a-staging-environment.html
https://experienceleague.adobe.com/docs/bizible/using/configuration-and-setup/sandbox-testing/salesforce-sandbox-to-production-migration.html,https://experienceleague.adobe.com/docs/marketo-measure/using/configuration-and-setup/sandbox-testing/salesforce-sandbox-to-production-migration.html
https://experienceleague.adobe.com/docs/bizible/using/configuration-and-setup/bizible-insights-canvas-app/bizible-insights-explained.html,https://experienceleague.adobe.com/docs/marketo-measure/using/configuration-and-setup/marketo-measure-insights-canvas-app/marketo-measure-insights-explained.html
https://experienceleague.adobe.com/docs/bizible/using/configuration-and-setup/bizible-insights-canvas-app/bizible-insights-configuration.html,https://experienceleague.adobe.com/docs/marketo-measure/using/configuration-and-setup/marketo-measure-insights-canvas-app/marketo-measure-insights-configuration.html
https://experienceleague.adobe.com/docs/bizible/using/channel-tracking-and-setup/online-channels/best-practices-for-online-channels.html,https://experienceleague.adobe.com/docs/marketo-measure/using/channel-tracking-and-setup/online-channels/best-practices-for-online-channels.html
